あ
ア
あー
アー
あーあー
アーアー
あーっ
アーッ
あっ
あーん
アーン
あーんあーん
アーンアーン
あぎあぎ
アギアギ
あぐあぐ
アグアグ
あくせく
アクセク
あたふた
アタフタ
あちゃ
アチャ
アッ
あっけらかん
アッケラカン
あっさり
アッサリ
あっちゃ
アッチャ
あっちゃー
アッチャー
あっははは
アッハハハ
あっぷあっぷ
アップアップ
あっはーん
アッハーン
あらよっ
アラヨッ
ありあり
アリアリ
あんぐり
アングリ
いえい
イエイ
いえーい
イエーイ
いざこざ
イザコザ
いじいじ
イジイジ
いそいそ
イソイソ
いちゃいちゃ
イチャイチャ
いちゃくらいちゃくら
イチャクライチャクラ
いらいら
イライラ
うー
ウー
うーっ
ウーッ
うぉーん
ウォーン
うかうか
ウカウカ
うきうき
ウキウキ
うごごご
ウゴゴゴ
うじうじ
ウジウジ
うじゃうじゃ
ウジャウジャ
うす
ウス
うずうず
ウズウズ
うぞうぞ
ウゾウゾ
うちゅ
ウチュ
うっ
ウッ
うっかり
ウッカリ
うっくん
ウックン
うっさら
ウッサラ
うっすら
ウッスラ
うっすり
ウッスリ
うっとり
ウットリ
うつら
ウツラ
うつらうつら
ウツラウツラ
うと
ウト
うとうと
ウトウト
うに
ウニ
うねうね
ウネウネ
うふふ
ウフフ
うまうま
ウマウマ
うむ
ウム
うようよ
ウヨウヨ
うらー
ウラー
うらうら
ウラウラ
うりゃー
ウリャー
うろうろ
ウロウロ
うわー
ウワー
うわーん
ウワーン
うん
ウン
うんうん
ウンウン
うんぎり
ウンギリ
うんざり
ウンザリ
うんしょ
ウンショ
うんっしょ
ウンッショ
えい
エイ
ええ
エエ
はい
えー
エー
ええっ
エエッ
えっ
エッ
えっちゃらおちゃら
エッチャラオチャラ
えっちらおっちら
エッチラオッチラ
えっへ
エッヘ
えっへん
エッヘン
えへん
エヘン
おい
オイ
おいおい
オイオイ
おいしょ
オイショ
おいっしょ
オイッショ
おー
オー
おぎゃーおぎゃー
オギャーオギャー
おずおず
オズオズ
おそるおそる
オソルオソル
おたおた
オタオタ
おちおち
オチオチ
おっとり
オットリ
おどおど
オドオド
おめおめ
オメオメ
おらおら
オラオラ
おりゃ
オリャ
おろおろ
オロオロ
おんおん
オンオン
か
カ
が
ガ
かー
カー
かーかー
カーカー
がーがー
ガーガー
かーっ
カーッ
かーん
カーン
がーん
ガーン
がきん
ガキン
かく
カク
がく
ガク
がくがく
ガクガク
がくっ
ガクッ
がくり
ガクリ
かくん
カクン
がくん
ガクン
かさ
カサ
がさ
ガサ
かさかさ
カサカサ
がさがさ
ガサガサ
かさこそ
カサコソ
がさごそ
ガサゴソ
かさっ
カサッ
がさっ
ガサッ
がし
ガシ
かじかく
カジカク
がしっ
ガシッ
かしゃっ
カシャッ
がしゃっ
ガシャッ
がしゃん
ガシャン
がしん
ガシン
かすかす
カスカス
かせ
カセ
がた
ガタ
かたかた
カタカタ
がたがた
ガタガタ
かたこと
カタコト
がたっ
ガタッ
がたぴし
ガタピシ
がたん
ガタン
かたんかたん
カタンカタン
かちかち
カチカチ
がちがち
ガチガチ
かちっ
カチッ
かちゃ
カチャ
がちゃ
ガチャ
かちゃかちゃ
カチャカチャ
がちゃがちゃ
ガチャガチャ
かちゃっ
カチャッ
がちゃり
ガチャリ
がちゃん
ガチャン
かちん
カチン
がちん
ガチン
かっ
カッ
がっ
ガッ
かっか
カッカ
かっかっ
カッカッ
かつかつ
カツカツ
かつがつ
カツガツ
がつがつ
ガツガツ
がっかり
ガッカリ
かっきり
カッキリ
がっくり
ガックリ
がっしり
ガッシリ
かっちり
カッチリ
がっちり
ガッチリ
かっちんかっちん
カッチンカッチン
がつっ
ガツッ
がつっがつっ
ガツッガツッ
がっははは
ガッハハハ
がっぷり
ガップリ
かっぽかっぽ
カッポカッポ
がっぽがっぽ
ガッポガッポ
がっぽり
ガッポリ
がつん
ガツン
がば
ガバ
がばがば
ガバガバ
がばっ
ガバッ
がははは
ガハハハ
かぱん
カパン
がぷ
ガプ
がぶがぶ
ガブガブ
がぶっ
ガブッ
がぶり
ガブリ
かぽかぽ
カポカポ
がぼがぼ
ガボガボ
がぼっ
ガボッ
がみがみ
ガミガミ
がや
ガヤ
がやがや
ガヤガヤ
から
カラ
からから
カラカラ
がらがら
ガラガラ
からころ
カラコロ
からっ
カラッ
がらっ
ガラッ
からっぽ
カラッポ
からり
カラリ
がらり
ガラリ
からん
カラン
がらん
ガラン
からんからん
カランカラン
かりかり
カリカリ
がりがり
ガリガリ
かん
カン
がん
ガン
かんかん
カンカン
がんがん
ガンガン
かんこん
カンコン
き
キ
きー
キー
きーきー
キーキー
ぎーぎー
ギーギー
きーっ
キーッ
ぎーっ
ギーッ
ぎくぎく
ギクギク
ぎくしゃく
